1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
3,22,25,29,32,44,19,155,,,
5,12,19,26,27,44,38,133,,,
5,15,21,25,26,30,31,122,,,
2,5,7,14,16,40,4,84,,,
11,12,14,21,32,38,6,128,,,
2,3,22,27,30,40,29,124,,,
5,10,16,24,27,35,33,117,,,
4,16,23,25,35,40,27,143,,,
1,10,19,20,24,40,23,114,,,
1,9,10,12,21,40,37,93,,,
10,14,18,21,36,37,5,136,,,
2,8,14,25,29,45,24,123,,,
5,8,29,30,35,44,38,151,,,
14,19,36,43,44,45,1,201,,,
11,16,19,22,29,36,26,133,,,
5,16,17,20,26,41,24,125,,,
5,25,27,29,34,36,33,156,,,
1,8,18,24,29,33,35,113,,,
5,13,14,20,24,25,36,101,,,
3,14,17,20,24,31,34,109,,,
3,8,13,27,32,42,10,125,,,
5,13,14,22,44,45,33,143,,,
15,20,23,29,39,42,2,168,,,
1,2,15,28,34,45,38,125,,,
1,10,17,29,31,43,15,131,,,
1,13,14,33,34,43,25,138,,,
1,8,19,34,39,43,41,144,,,
18,24,26,29,34,38,32,169,,,
6,8,14,21,30,37,45,116,,,
2,13,34,38,42,45,16,174,,,
1,5,14,18,32,37,4,107,,,
3,5,20,34,35,44,16,141,,,
5,9,16,23,26,45,21,124,,,
13,15,21,29,39,43,33,160,,,
5,14,27,30,39,43,35,158,,,
16,17,34,36,42,45,3,190,,,
4,9,14,26,31,44,39,128,,,
3,4,16,17,19,20,23,79,,,
9,17,19,30,35,42,4,152,,,
1,6,9,16,17,28,24,77,,,
6,12,13,17,32,44,24,124,,,
16,23,25,33,36,39,40,172,,,
7,17,20,32,44,45,33,165,,,
2,4,21,25,33,36,17,121,,,
10,14,15,32,36,42,3,149,,,
9,18,29,32,38,43,20,169,,,
12,18,20,21,25,34,42,130,,,
16,19,23,25,41,45,3,169,,,
5,8,22,28,33,42,37,138,,,
2,17,19,20,34,45,21,137,,,
3,10,11,22,36,39,8,121,,,
10,11,21,27,31,39,43,139,,,
1,13,33,35,43,45,23,170,,,
15,17,19,34,38,41,2,164,,,
9,17,34,35,43,45,2,183,,,
2,3,5,6,12,20,25,48,,,
4,12,24,27,28,32,10,127,,,
1,5,19,28,34,41,16,128,,,
1,2,5,11,18,36,22,73,,,
14,15,17,19,37,45,40,147,,,
5,15,21,23,25,45,12,134,,,
4,18,23,30,34,41,19,150,,,
7,8,18,21,23,39,9,116,,,
4,10,16,26,33,41,38,130,,,
2,14,17,30,38,45,43,146,,,
13,19,20,32,38,42,4,164,,,
7,11,13,33,37,43,26,144,,,
7,9,10,12,26,38,39,102,,,
1,3,20,25,36,45,24,130,,,
