,전국,수도권,서울,국고채3년(평균),국고채5년(평균),국고채10년(평균),회사채3년(평균),CD91물(평균),"콜금리(1일물,평균)",기준금리
202101,123.00 ,140.10 ,166.40 ,0.98,1.32,1.73,2.14,0.68,0.49,0.50 
202102,125.20 ,143.40 ,168.70 ,1.00,1.35,1.85,2.06,0.73,0.49,0.50 
202103,126.80 ,146.00 ,169.30 ,1.13,1.55,2.04,2.09,0.75,0.49,0.50 
202104,128.50 ,148.40 ,170.70 ,1.14,1.58,2.04,1.98,0.74,0.48,0.50 
202105,130.70 ,152.00 ,173.70 ,1.13,1.65,2.13,1.89,0.68,0.48,0.50 
202106,133.60 ,156.60 ,177.60 ,1.30,1.70,2.10,1.91,0.66,0.51,0.50 
202107,136.80 ,161.50 ,181.60 ,1.42,1.69,1.98,1.89,0.69,0.53,0.50 
202108,140.00 ,166.50 ,185.00 ,1.41,1.65,1.91,1.84,0.77,0.56,0.75 
202109,142.60 ,170.20 ,187.70 ,1.52,1.79,2.06,1.95,0.98,0.77,0.75 
202110,144.10 ,171.90 ,188.30 ,1.84,2.15,2.40,2.30,1.08,0.74,0.75 
202111,143.10 ,170.20 ,184.80 ,1.95,2.17,2.36,2.49,1.17,0.80,1.00 
202112,141.70 ,167.90 ,182.30 ,1.80,1.98,2.19,2.41,1.27,1.01,1.00 
202201,140.90 ,166.20 ,181.30 ,2.06,2.28,2.49,2.63,1.39,1.19,1.25 
202202,140.50 ,165.50 ,179.20 ,2.29,2.50,2.69,2.87,1.50,1.22,1.25 
202203,141.00 ,166.50 ,181.20 ,2.37,2.60,2.78,3.03,1.50,1.24,1.25 
202204,141.70 ,167.20 ,183.10 ,2.94,3.14,3.22,3.63,1.64,1.30,1.50 
202205,140.30 ,165.10 ,180.40 ,3.02,3.23,3.30,3.78,1.77,1.51,1.75 
202206,139.50 ,163.60 ,180.30 ,3.48,3.65,3.64,4.23,1.99,1.75,1.75 
202207,135.80 ,157.60 ,173.10 ,3.24,3.30,3.30,4.13,2.41,1.97,2.25 
202208,132.90 ,153.10 ,167.90 ,3.25,3.30,3.32,4.23,2.79,2.26,2.50 
202209,130.00 ,148.20 ,163.90 ,3.90,3.94,3.90,4.90,3.01,2.53,2.50 
202210,125.60 ,141.30 ,156.10 ,4.24,4.29,4.27,5.44,3.69,2.96,3.00 
202211,120.50 ,134.20 ,146.70 ,3.90,3.95,3.92,5.49,3.99,3.10,3.25 
202212,117.30 ,130.00 ,141.90 ,3.63,3.59,3.54,5.30,4.02,3.24,3.25 
202301,116.40 ,129.30 ,143.20 ,3.46,3.42,3.41,4.70,3.80,3.27,3.50 
202302,117.60 ,131.50 ,146.10 ,3.47,3.47,3.45,4.27,3.52,3.43,3.50 
202303,118.90 ,133.60 ,148.30 ,3.46,3.45,3.45,4.18,3.61,3.43,3.50 
202304,119.90 ,135.30 ,150.80 ,3.26,3.25,3.32,4.07,3.50,3.47,3.50 
